# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1559193235.87388 -0.000352 0.001766 -0.000406 0.019564 0.001608 -0.707326 0.706615 0.0000065604 -0.0000003007 -0.0000118396 0.0000064602 0.0000100313 0.0004012329 0.0028277082 0.0000000003 0.0000000020 0.0028277070 -0.0000000351 0.0027521737
1559193235.97399 -0.000372 -0.008150 -0.001127 0.019268 0.001289 -0.707357 0.706593 0.0000065847 -0.0000002923 -0.0000114969 0.0000065055 0.0000100438 0.0004012973 0.0029084239 -0.0000000012 0.0000000026 0.0029083973 0.0000001407 0.0028107170
1559193236.07542 -0.002574 -0.025729 -0.001634 0.019203 0.001095 -0.707405 0.706547 0.0000064859 -0.0000003732 -0.0000112986 0.0000065221 0.0000100940 0.0004013612 0.0029404272 -0.0000353504 -0.0000016242 0.0029813530 0.0000082586 0.0028456788
1559193236.17656 0.000850 -0.064802 -0.008101 0.019434 0.001424 -0.707379 0.706565 0.0000055601 -0.0000002478 -0.0000113191 0.0000055549 0.0000101316 0.0004013246 0.0025940995 0.0000263461 0.0000068825 0.0026499795 0.0000181073 0.0025891809
1559193236.27525 -0.000793 -0.095802 -0.008638 0.019489 0.001276 -0.707399 0.706545 0.0000055597 -0.0000002670 -0.0000115926 0.0000055262 0.0000101247 0.0004013325 0.0025939850 0.0000234456 0.0000064396 0.0026515663 0.0000165845 0.0025877193
1559193236.37482 -0.001027 -0.133772 -0.010223 0.019291 0.001185 -0.707434 0.706515 0.0000055345 -0.0000002661 -0.0000114111 0.0000055060 0.0000101342 0.0004013593 0.0025946854 0.0000223309 0.0000060017 0.0026582059 0.0000157227 0.0025862242
1559193236.47487 -0.001572 -0.180033 -0.012268 0.019075 0.000970 -0.707483 0.706472 0.0000055039 -0.0000002605 -0.0000111910 0.0000054932 0.0000101251 0.0004013858 0.0025981206 0.0000217242 0.0000052931 0.0026695400 0.0000155216 0.0025844874
1559193236.57475 -0.002197 -0.236099 -0.014749 0.018840 0.000735 -0.707528 0.706434 0.0000054666 -0.0000002512 -0.0000109383 0.0000054801 0.0000101083 0.0004014110 0.0026048541 0.0000216006 0.0000047200 0.0026835835 0.0000155158 0.0025822101
1559193236.67495 -0.003295 -0.302571 -0.017131 0.018728 0.000578 -0.707590 0.706375 0.0000054333 -0.0000002437 -0.0000107805 0.0000054707 0.0000101574 0.0004014249 0.0026164545 0.0000215682 0.0000042531 0.0026987214 0.0000152038 0.0025796000
1559193236.77468 -0.003942 -0.382264 -0.019216 0.018748 0.000735 -0.707708 0.706256 0.0000054070 -0.0000002438 -0.0000107902 0.0000054563 0.0000101919 0.0004014287 0.0026346514 0.0000207325 0.0000037165 0.0027127217 0.0000148114 0.0025765520
1559193236.87610 -0.004465 -0.474160 -0.022087 0.018851 0.001009 -0.707852 0.706109 0.0000053959 -0.0000002410 -0.0000109499 0.0000054259 0.0000101034 0.0004014246 0.0026626349 0.0000208713 0.0000032440 0.0027245995 0.0000129237 0.0025727586
1559193236.97595 -0.005370 -0.576223 -0.024958 0.018865 0.001121 -0.707949 0.706011 0.0000053907 -0.0000002463 -0.0000110953 0.0000053968 0.0000099447 0.0004014280 0.0027042315 0.0000205052 0.0000028404 0.0027383758 0.0000133598 0.0025705699
1559193237.07475 -0.006431 -0.689264 -0.028792 0.018895 0.001224 -0.707961 0.705997 0.0000053727 -0.0000002533 -0.0000111658 0.0000053669 0.0000098881 0.0004014283 0.0027582922 0.0000197130 0.0000025888 0.0027506655 0.0000137302 0.0025684040
1559193237.17536 -0.007473 -0.809291 -0.032924 0.018820 0.001268 -0.707955 0.706006 0.0000053624 -0.0000002585 -0.0000112016 0.0000053450 0.0000098005 0.0004014324 0.0028306830 0.0000181208 0.0000022754 0.0027712859 0.0000143127 0.0025670203
1559193237.27566 -0.008937 -0.939981 -0.037714 0.018811 0.001082 -0.707998 0.705963 0.0000053433 -0.0000002598 -0.0000111058 0.0000053317 0.0000099160 0.0004014340 0.0029212613 0.0000160385 0.0000020208 0.0027941292 0.0000160232 0.0025664056
1559193237.37575 -0.011017 -1.082045 -0.042688 0.018928 0.000857 -0.708020 0.705938 0.0000053286 -0.0000002647 -0.0000110438 0.0000053275 0.0000100924 0.0004014301 0.0030349890 0.0000140696 0.0000016817 0.0028214545 0.0000172226 0.0025664284
1559193237.47665 -0.012147 -1.233178 -0.047923 0.018913 0.000926 -0.708073 0.705885 0.0000053219 -0.0000002655 -0.0000110915 0.0000053175 0.0000100716 0.0004014299 0.0031756299 0.0000112645 0.0000012241 0.0028473181 0.0000176769 0.0025669801
1559193237.57747 -0.012604 -1.394399 -0.053158 0.018750 0.001143 -0.708133 0.705829 0.0000053171 -0.0000002599 -0.0000111476 0.0000052892 0.0000098306 0.0004014402 0.0033456223 0.0000091945 0.0000007595 0.0028777786 0.0000198887 0.0025681660
1559193237.67798 -0.013294 -1.564936 -0.058719 0.018385 0.001312 -0.708105 0.705867 0.0000053023 -0.0000002501 -0.0000110323 0.0000052596 0.0000095840 0.0004014613 0.0035480181 0.0000073506 0.0000004199 0.0029068327 0.0000222290 0.0025699679
1559193237.77986 -0.014484 -1.741031 -0.065271 0.018116 0.001469 -0.708078 0.705900 0.0000053050 -0.0000002411 -0.0000110292 0.0000052338 0.0000093027 0.0004014792 0.0037869104 0.0000054862 0.0000001313 0.0029328189 0.0000236016 0.0025723901
1559193237.88143 -0.013758 -1.926844 -0.073539 0.017639 0.001628 -0.708134 0.705856 0.0000052923 -0.0000002270 -0.0000109205 0.0000052084 0.0000089828 0.0004015035 0.0040638354 0.0000038107 -0.0000000392 0.0029607697 0.0000251416 0.0025755595
1559193237.98592 -0.014559 -2.130109 -0.081129 0.017239 0.001896 -0.708054 0.705945 0.0000052907 -0.0000002128 -0.0000107548 0.0000051816 0.0000085881 0.0004015360 0.0043929452 0.0000032700 -0.0000001360 0.0029946722 0.0000280508 0.0025798748
1559193238.08230 -0.015635 -2.332153 -0.088273 0.017014 0.002283 -0.707972 0.706032 0.0000052965 -0.0000002050 -0.0000107772 0.0000051580 0.0000082657 0.0004015523 0.0047483016 0.0000012083 -0.0000001333 0.0030214520 0.0000301397 0.0025844260
1559193238.18186 -0.017170 -2.547579 -0.095570 0.016896 0.002601 -0.707971 0.706035 0.0000053075 -0.0000001996 -0.0000108926 0.0000051368 0.0000080144 0.0004015602 0.0051703931 -0.0000008866 -0.0000002210 0.0030521103 0.0000331113 0.0025900520
1559193238.28324 -0.019357 -2.765047 -0.102831 0.016796 0.002477 -0.707922 0.706087 0.0000053135 -0.0000001962 -0.0000108119 0.0000051256 0.0000080110 0.0004015685 0.0056486208 -0.0000050145 -0.0000003732 0.0030830606 0.0000362779 0.0025966090
1559193238.38352 -0.021338 -2.996332 -0.110698 0.016400 0.002315 -0.707910 0.706109 0.0000053078 -0.0000001822 -0.0000104759 0.0000051080 0.0000078998 0.0004015954 0.0061812477 -0.0000087275 -0.0000003786 0.0031008350 0.0000381099 0.0026042346
1559193238.48353 -0.022836 -3.234790 -0.118582 0.015992 0.002135 -0.707871 0.706158 0.0000053000 -0.0000001704 -0.0000101351 0.0000050980 0.0000077815 0.0004016219 0.0067771595 -0.0000117165 -0.0000001756 0.0031450692 0.0000415234 0.0026129151
1559193238.58383 -0.023187 -3.479186 -0.127365 0.015279 0.002312 -0.707802 0.706242 0.0000052898 -0.0000001528 -0.0000098491 0.0000050733 0.0000072977 0.0004016572 0.0074419485 -0.0000132730 0.0000003094 0.0031859084 0.0000444426 0.0026224864
1559193238.68392 -0.022974 -3.733751 -0.136697 0.014586 0.002649 -0.707755 0.706303 0.0000052848 -0.0000001355 -0.0000096437 0.0000050485 0.0000067110 0.0004016913 0.0081795353 -0.0000142742 0.0000009538 0.0032295825 0.0000477170 0.0026331137
1559193238.78374 -0.024562 -3.994734 -0.145510 0.014054 0.002826 -0.707651 0.706417 0.0000052798 -0.0000001236 -0.0000094274 0.0000050314 0.0000062948 0.0004017189 0.0089948736 -0.0000180627 0.0000012354 0.0032770648 0.0000514849 0.0026452098
1559193238.88349 -0.026214 -4.264903 -0.153648 0.013792 0.003074 -0.707593 0.706479 0.0000052801 -0.0000001164 -0.0000094130 0.0000050218 0.0000060193 0.0004017309 0.0098886048 -0.0000221045 0.0000017345 0.0033133942 0.0000548527 0.0026582982
1559193238.98430 -0.028002 -4.536545 -0.159327 0.013708 0.003213 -0.707589 0.706484 0.0000052744 -0.0000001109 -0.0000094555 0.0000050087 0.0000058964 0.0004017335 0.0108718830 -0.0000230333 0.0000024844 0.0033252630 0.0000571932 0.0026716282
1559193239.08445 -0.029912 -4.820111 -0.167044 0.013628 0.003259 -0.707629 0.706446 0.0000052734 -0.0000001075 -0.0000094237 0.0000050023 0.0000058225 0.0004017394 0.0119305890 -0.0000297319 0.0000024454 0.0033655060 0.0000601787 0.0026869803
1559193239.18429 -0.028686 -5.112010 -0.177212 0.012495 0.004444 -0.707397 0.706692 0.0000052760 -0.0000000835 -0.0000094347 0.0000049574 0.0000045135 0.0004017752 0.0130882219 -0.0000339724 0.0000020347 0.0032744541 0.0000529611 0.0027027771
1559193239.28472 -0.024641 -5.407289 -0.190019 0.011265 0.005415 -0.707390 0.706713 0.0000052723 -0.0000000488 -0.0000093266 0.0000049303 0.0000032906 0.0004018071 0.0143510093 -0.0000263735 0.0000027318 0.0033153334 0.0000561294 0.0027212792
1559193239.38394 -0.027890 -5.712272 -0.203039 0.011127 0.004137 -0.707301 0.706812 0.0000052326 -0.0000000495 -0.0000085118 0.0000049332 0.0000039571 0.0004018338 0.0156940956 -0.0000372740 0.0000032880 0.0032808733 0.0000515750 0.0027399029
1559193239.48397 -0.036469 -6.019247 -0.212348 0.011905 0.002574 -0.707035 0.707074 0.0000052147 -0.0000000689 -0.0000080879 0.0000049620 0.0000052611 0.0004018240 0.0171565243 -0.0000583298 0.0000041688 0.0033253877 0.0000539948 0.0027606412
1559193239.58328 -0.040156 -6.339964 -0.218955 0.012524 0.002349 -0.707078 0.707021 0.0000052226 -0.0000000795 -0.0000082895 0.0000049763 0.0000057353 0.0004018054 0.0187349705 -0.0000709591 0.0000042485 0.0033592325 0.0000561521 0.0027835763
1559193239.68280 -0.041823 -6.665849 -0.225166 0.013341 0.002653 -0.706989 0.707094 0.0000052517 -0.0000000935 -0.0000089205 0.0000049876 0.0000060264 0.0004017724 0.0204492609 -0.0000797518 0.0000035191 0.0034069957 0.0000595513 0.0028089846
1559193239.78473 -0.041312 -7.002608 -0.234263 0.013084 0.003501 -0.706805 0.707279 0.0000052670 -0.0000000830 -0.0000092542 0.0000049695 0.0000053818 0.0004017781 0.0223078778 -0.0000860407 0.0000022843 0.0034543739 0.0000637358 0.0028364172
1559193239.88286 -0.041165 -7.327491 -0.245037 0.012564 0.003742 -0.706729 0.707363 0.0000052588 -0.0000000691 -0.0000090929 0.0000049558 0.0000049332 0.0004017995 0.0241970165 -0.0000894822 0.0000007176 0.0035104939 0.0000663694 0.0028639477
1559193239.98294 -0.042458 -7.669680 -0.256764 0.012186 0.003509 -0.706584 0.707515 0.0000052430 -0.0000000600 -0.0000087401 0.0000049525 0.0000048672 0.0004018193 0.0262510062 -0.0001016093 -0.0000007699 0.0035673204 0.0000685015 0.0028936570
1559193240.08308 -0.039429 -8.016955 -0.271484 0.010695 0.003464 -0.706721 0.707404 0.0000052067 -0.0000000281 -0.0000078872 0.0000049327 0.0000040725 0.0004018758 0.0284442168 -0.0000939498 -0.0000005693 0.0036078686 0.0000685681 0.0029247645
1559193240.18107 -0.043309 -8.380704 -0.280689 0.011443 0.003430 -0.706213 0.707898 0.0000052229 -0.0000000403 -0.0000082566 0.0000049441 0.0000045086 0.0004018547 0.0307874640 -0.0001164614 -0.0000004913 0.0036684920 0.0000741461 0.0029597085
1559193240.28118 -0.050081 -8.732787 -0.284759 0.012874 0.003329 -0.706102 0.707985 0.0000052596 -0.0000000652 -0.0000090401 0.0000049660 0.0000053186 0.0004018034 0.0332848546 -0.0001394486 0.0000003958 0.0037428552 0.0000799227 0.0029959165
1559193240.38163 -0.055962 -9.097395 -0.291063 0.014296 0.002317 -0.706244 0.707820 0.0000052730 -0.0000000979 -0.0000092584 0.0000050066 0.0000067027 0.0004017545 0.0359020926 -0.0001691700 0.0000012991 0.0038183482 0.0000835109 0.0030335610
1559193240.48190 -0.063579 -9.480051 -0.300748 0.014710 0.001304 -0.705872 0.708185 0.0000052561 -0.0000001112 -0.0000088945 0.0000050327 0.0000075001 0.0004017447 0.0386593944 -0.0002044626 0.0000019690 0.0038579344 0.0000814105 0.0030712331
1559193240.58218 -0.065845 -9.849012 -0.315075 0.014196 0.000592 -0.705699 0.708369 0.0000052312 -0.0000001012 -0.0000082482 0.0000050366 0.0000076372 0.0004017710 0.0416656462 -0.0002298082 0.0000034396 0.0039268532 0.0000832498 0.0031129051
1559193240.68255 -0.064960 -10.228849 -0.329334 0.013330 -0.000057 -0.705712 0.708373 0.0000051987 -0.0000000825 -0.0000073923 0.0000050310 0.0000075208 0.0004018126 0.0447058575 -0.0002371353 0.0000048191 0.0040055308 0.0000868948 0.0031552347
1559193240.78298 -0.060228 -10.615282 -0.339982 0.012591 0.000214 -0.705491 0.708607 0.0000051787 -0.0000000705 -0.0000071472 0.0000050121 0.0000070460 0.0004018411 0.0479354790 -0.0002399913 0.0000048544 0.0040538621 0.0000909357 0.0031982347
1559193240.88275 -0.059195 -11.013100 -0.350354 0.012727 0.001122 -0.705391 0.708704 0.0000051989 -0.0000000705 -0.0000076963 0.0000049940 0.0000065068 0.0004018430 0.0513662852 -0.0002248093 0.0000045127 0.0041269864 0.0000951813 0.0032456466
1559193240.98267 -0.057189 -11.416695 -0.358976 0.013071 0.002832 -0.705212 0.708871 0.0000052477 -0.0000000727 -0.0000088418 0.0000049708 0.0000057481 0.0004018226 0.0550046966 -0.0002246974 0.0000041988 0.0041887155 0.0001003742 0.0032958318
1559193241.08246 -0.054126 -11.825168 -0.368202 0.013025 0.004820 -0.704789 0.709281 0.0000053001 -0.0000000619 -0.0000099553 0.0000049418 0.0000046235 0.0004018031 0.0588333140 -0.0002282762 0.0000028986 0.0042709295 0.0001043809 0.0033485212
1559193241.18242 -0.056413 -12.235443 -0.380376 0.013343 0.004661 -0.704448 0.709614 0.0000053011 -0.0000000703 -0.0000100438 0.0000049452 0.0000048535 0.0004017967 0.0628077993 -0.0002468660 0.0000016411 0.0043467633 0.0001047363 0.0034023392
1559193241.28240 -0.067272 -12.642012 -0.390373 0.015734 0.001411 -0.704401 0.709627 0.0000052770 -0.0000001392 -0.0000095358 0.0000050468 0.0000080577 0.0004017215 0.0669363487 -0.0003128256 0.0000024554 0.0044252631 0.0001065924 0.0034596908
1559193241.38213 -0.080494 -13.059883 -0.399718 0.017726 -0.001303 -0.704224 0.709756 0.0000052568 -0.0000001899 -0.0000091043 0.0000051697 0.0000106803 0.0004016219 0.0712207477 -0.0003814660 0.0000039247 0.0044834399 0.0001083835 0.0035188302
1559193241.48186 -0.079240 -13.483879 -0.409481 0.017661 -0.000356 -0.703982 0.709998 0.0000052787 -0.0000001904 -0.0000095925 0.0000051408 0.0000101388 0.0004016311 0.0757318243 -0.0003972790 0.0000047956 0.0045686172 0.0001104025 0.0035805315
1559193241.58437 -0.060029 -13.874070 -0.423313 0.015664 0.002272 -0.704012 0.710012 0.0000052969 -0.0000001434 -0.0000100729 0.0000050263 0.0000076570 0.0004017224 0.0805810994 -0.0003421242 0.0000042744 0.0045930885 0.0001091659 0.0036456708
1559193241.68305 -0.041564 -14.301828 -0.442504 0.012305 0.004877 -0.704086 0.709991 0.0000052717 -0.0000000524 -0.0000095689 0.0000049232 0.0000042255 0.0004018554 0.0849018046 -0.0002277997 0.0000043814 0.0046854670 0.0001109689 0.0037060463
1559193241.78340 -0.031712 -14.737296 -0.459138 0.010964 0.006087 -0.703916 0.710173 0.0000052668 -0.0000000191 -0.0000095093 0.0000048966 0.0000027896 0.0004018888 0.0900308514 -0.0001750142 0.0000045636 0.0047650826 0.0001138574 0.0037764768
1559193241.88218 -0.033644 -15.186699 -0.470494 0.013048 0.005589 -0.703625 0.710430 0.0000053064 -0.0000000639 -0.0000103463 0.0000049207 0.0000042602 0.0004018252 0.0953485255 -0.0001848810 0.0000046008 0.0048366536 0.0001181496 0.0038496627
1559193241.98200 -0.044900 -15.642927 -0.475366 0.016799 0.005070 -0.703097 0.710878 0.0000054021 -0.0000001582 -0.0000121097 0.0000049831 0.0000066266 0.0004016637 0.1009417257 -0.0002576288 0.0000059912 0.0048687812 0.0001172742 0.0039258671
1559193242.08129 -0.044449 -16.106382 -0.484931 0.017252 0.005377 -0.703122 0.710839 0.0000054245 -0.0000001677 -0.0000125727 0.0000049823 0.0000066750 0.0004016361 0.1068369581 -0.0002522327 0.0000064261 0.0048887902 0.0001156281 0.0040050503
1559193242.18153 -0.032875 -16.565192 -0.503192 0.014732 0.005951 -0.703131 0.710883 0.0000053595 -0.0000001012 -0.0000115178 0.0000049301 0.0000049537 0.0004017553 0.1129318379 -0.0001869487 0.0000076750 0.0049753633 0.0001204931 0.0040890723
1559193242.28094 -0.021677 -17.038870 -0.525443 0.012299 0.006731 -0.702813 0.711237 0.0000053080 -0.0000000414 -0.0000105657 0.0000048921 0.0000031145 0.0004018514 0.1192279439 -0.0001080830 0.0000086498 0.0050448022 0.0001204509 0.0041760650
1559193242.38111 -0.014408 -17.507055 -0.544149 0.011117 0.007478 -0.702651 0.711409 0.0000052969 -0.0000000122 -0.0000103540 0.0000048767 0.0000020352 0.0004018814 0.1259023497 -0.0000564278 0.0000088838 0.0051381095 0.0001239004 0.0042677698
1559193242.48098 -0.011568 -17.980525 -0.562361 0.011039 0.006593 -0.702560 0.711509 0.0000052693 -0.0000000215 -0.0000098211 0.0000048809 0.0000025019 0.0004019078 0.1326606744 -0.0000426971 0.0000092436 0.0052360914 0.0001291387 0.0043613741
1559193242.58104 -0.012229 -18.450960 -0.577975 0.011380 0.004935 -0.702343 0.711731 0.0000052342 -0.0000000437 -0.0000090823 0.0000048986 0.0000036498 0.0004019305 0.1396690956 -0.0000579483 0.0000088896 0.0053534665 0.0001321938 0.0044583956
1559193242.68096 -0.011285 -18.931083 -0.591080 0.011954 0.003891 -0.702261 0.711809 0.0000052216 -0.0000000620 -0.0000088039 0.0000049170 0.0000045462 0.0004019296 0.1468251100 -0.0000531682 0.0000084788 0.0054729811 0.0001362783 0.0045575799
1559193242.78129 -0.007936 -19.417986 -0.603309 0.012229 0.003685 -0.702165 0.711899 0.0000052217 -0.0000000690 -0.0000088300 0.0000049235 0.0000048162 0.0004019270 0.1543534240 -0.0000295826 0.0000072911 0.0055873184 0.0001389637 0.0046612924
1559193242.88084 -0.002254 -19.907743 -0.618717 0.011523 0.003646 -0.702038 0.712037 0.0000052017 -0.0000000553 -0.0000084036 0.0000049148 0.0000044307 0.0004019578 0.1620396086 0.0000164725 0.0000073101 0.0057125036 0.0001442697 0.0047677817
1559193242.98108 0.004950 -20.402564 -0.636832 0.010399 0.003450 -0.701959 0.712133 0.0000051717 -0.0000000378 -0.0000076724 0.0000049048 0.0000039098 0.0004020036 0.1701125617 0.0000710888 0.0000075822 0.0058655207 0.0001496217 0.0048802911
1559193243.08109 0.007821 -20.906830 -0.649239 0.010685 0.003807 -0.701693 0.712389 0.0000051820 -0.0000000414 -0.0000080257 0.0000049029 0.0000038492 0.0004019947 0.1784415987 0.0001032146 0.0000088040 0.0059791947 0.0001535553 0.0049951764
1559193243.18106 0.008778 -21.400917 -0.660173 0.012311 0.003676 -0.701531 0.712523 0.0000052146 -0.0000000730 -0.0000088717 0.0000049239 0.0000048478 0.0004019407 0.1871187172 0.0001121909 0.0000095478 0.0060903496 0.0001582673 0.0051146803
1559193243.28099 0.010489 -21.911130 -0.671784 0.013520 0.003925 -0.701356 0.712673 0.0000052513 -0.0000000985 -0.0000096844 0.0000049386 0.0000054104 0.0004018923 0.1958238807 0.0001208520 0.0000097614 0.0062382520 0.0001644006 0.0052352000
1559193243.38108 0.014762 -22.443773 -0.682456 0.014018 0.004410 -0.701179 0.712833 0.0000052724 -0.0000001100 -0.0000102141 0.0000049378 0.0000054633 0.0004018669 0.2049952362 0.0001540528 0.0000103508 0.0063087416 0.0001645405 0.0053583023
1559193243.48100 0.019556 -22.976852 -0.697414 0.014561 0.004822 -0.701102 0.712896 0.0000052987 -0.0000001207 -0.0000107617 0.0000049369 0.0000054942 0.0004018395 0.2147869322 0.0002142545 0.0000117279 0.0063959865 0.0001635652 0.0054914255
1559193243.58091 0.026220 -23.500636 -0.712674 0.014655 0.005651 -0.700908 0.713078 0.0000053258 -0.0000001184 -0.0000113092 0.0000049250 0.0000050904 0.0004018220 0.2248600663 0.0002789386 0.0000140491 0.0065321756 0.0001728667 0.0056304980
1559193243.68093 0.034169 -24.027698 -0.729779 0.014481 0.006238 -0.700675 0.713306 0.0000053401 -0.0000001078 -0.0000115322 0.0000049157 0.0000046531 0.0004018254 0.2349566778 0.0003540855 0.0000160658 0.0067055611 0.0001803155 0.0057709559
1559193243.78090 0.042983 -24.550571 -0.746400 0.014319 0.006312 -0.700484 0.713496 0.0000053346 -0.0000001061 -0.0000114894 0.0000049129 0.0000045567 0.0004018349 0.2453334444 0.0004312990 0.0000151524 0.0068270283 0.0001817856 0.0059118710
1559193243.88090 0.050725 -25.092351 -0.764212 0.014203 0.006209 -0.700379 0.713603 0.0000053225 -0.0000001043 -0.0000113518 0.0000049114 0.0000045306 0.0004018466 0.2558649282 0.0005314844 0.0000156492 0.0069079063 0.0001889883 0.0060567172
1559193243.98108 0.057592 -25.623140 -0.781710 0.013948 0.006012 -0.700165 0.713820 0.0000053122 -0.0000000992 -0.0000111275 0.0000049115 0.0000044716 0.0004018660 0.2670274760 0.0006231007 0.0000161984 0.0070054209 0.0001904932 0.0062098125
1559193244.08121 0.067711 -26.159322 -0.796706 0.013174 0.005908 -0.699969 0.714027 0.0000052853 -0.0000000850 -0.0000106383 0.0000049058 0.0000041437 0.0004019048 0.2781378804 0.0007183537 0.0000157325 0.0071412452 0.0001924647 0.0063619281
1559193244.18100 0.077927 -26.710404 -0.815674 0.012574 0.005851 -0.699921 0.714086 0.0000052658 -0.0000000723 -0.0000102712 0.0000049007 0.0000038154 0.0004019351 0.2896392733 0.0008546564 0.0000173758 0.0073018952 0.0001967498 0.0065191528
1559193244.28096 0.090781 -27.253769 -0.834532 0.012054 0.006221 -0.699881 0.714131 0.0000052610 -0.0000000594 -0.0000102044 0.0000048916 0.0000033226 0.0004019509 0.3017118804 0.0010011933 0.0000194578 0.0074512335 0.0002026770 0.0066852257
1559193244.38077 0.103454 -27.809038 -0.850251 0.012254 0.007706 -0.699745 0.714246 0.0000053064 -0.0000000489 -0.0000111274 0.0000048785 0.0000026031 0.0004019148 0.3139152714 0.0011619264 0.0000174504 0.0074822609 0.0001955811 0.0068484151
1559193244.48077 0.114961 -28.371362 -0.866990 0.012418 0.009898 -0.699638 0.714321 0.0000053858 -0.0000000208 -0.0000124584 0.0000048686 0.0000014417 0.0004018517 0.3266127826 0.0013506559 0.0000178805 0.0076078013 0.0001981609 0.0070218197
1559193244.58070 0.125634 -28.938219 -0.883256 0.012689 0.011813 -0.699715 0.714211 0.0000054688 0.0000000074 -0.0000137333 0.0000048643 0.0000004861 0.0004017754 0.3396358174 0.0014859046 0.0000168341 0.0076448243 0.0001886990 0.0071972255
1559193244.68075 0.133872 -29.495086 -0.900186 0.012360 0.011269 -0.699907 0.714038 0.0000054363 0.0000000037 -0.0000132163 0.0000048666 0.0000006473 0.0004018129 0.3529723709 0.0016154657 0.0000178775 0.0078174836 0.0001922732 0.0073805703
1559193244.78081 0.140924 -30.051278 -0.918391 0.011416 0.009750 -0.700061 0.713925 0.0000053515 -0.0000000035 -0.0000118452 0.0000048704 0.0000009685 0.0004019023 0.3663640372 0.0017092595 0.0000179510 0.0079882671 0.0001941817 0.0075645391
